ID,Name,Lat,Lon,districtName
92,92 SAN ILDEFONSO-REPUBLICA DE ARGENTINA,19.436531,-99.131497,Centro
93,93 PALMA NORTE-REPUBLICA DE CUBA,19.436741,-99.134811,Centro
94,94 LIC. VERDAD-MONEDA,19.433766,-99.130918,Centro
95,95 20 DE NOVIEMBRE-VENUSTIANO CARRANZA,19.430722,-99.133698,Centro
96,96 LOPEZ-AYUNTAMIENTO,19.430625,-99.14248,Centro
97,97 REPUBLICA DE SALVADOR-PINO SUAREZ,19.429189,-99.132759,Centro
98,98 EMILIO DONDE-AV. BALDERAS,19.430267,-99.14861,Centro
99,99 ERNESTO PUGIBET-LUIS MOYA,19.42995,-99.14591,Centro
100,100 20 DE NOVIEMBRE-MESONES,19.428485,-99.1338,Centro
101,101 1ER. CALLEJÓN DE MESONES-MESONES,19.428366,-99.135895,Centro
102,102 ECHEVESTE-BOLIVAR,19.42821,-99.13949,Centro
104,104 SAN JERONIMO-ISABEL LA CATOLICA,19.427059,-99.137116,Centro
105,105 SAN JERONIMO-5 DE FEBRERO,19.426755,-99.135014,Centro
106,106 SAN JERONIMO-JOSE MARIA PINO SUAREZ,19.42649,-99.133537,Centro
107,107 TOLSA-BALDERAS,19.427329,-99.149971,Centro
108,E108 TOLSA-BALDERAS,19.427305,-99.149533,Centro
109,109 NEZAHUALCOYOTL-ISABEL LA CATOLICA,19.425311,-99.137421,Centro
29,29 REFORMA-BUCARELI,19.434913,-99.149939,Centro
43,43 JUAREZ-REVILLAGIGEDO,19.435228,-99.146063,Centro
48,48 INDEPENDENCIA-AZUETA,19.433686,-99.146557,Centro
52,52 HIDALGO-TRUJANO,19.436236,-99.142039,Centro
55,55 5 DE MAYO-BOLIVAR,19.434356,-99.138064,Centro
65,65 MARCONI-TACUBA,19.436142,-99.139906,Centro
82,82 INDEPENDENCIA-MARROQUI,19.433115,-99.143686,Centro
192,192 RUBEN DARIO-REFORMA,19.42592,-99.190755,Bosque de Chapultepec
193,193 RUBEN DARIO-REFORMA,19.425907,-99.190733,Bosque de Chapultepec
194,194 CTO MAHATMA GANDHI-AV. PASEO DE LA REFORMA,19.424282,-99.180334,Bosque de Chapultepec
195,195 AV. PASEO DE LA REFORMA-CTO MAHATMA GANDHI,19.424926,-99.185147,Bosque de Chapultepec
62,62 FERNANDO MONTES DE OCA-AMATLAN,19.413322,-99.175202,Condesa
63,63 NUEVO LEON- LAREDO,19.413681,-99.171531,Condesa
67,67 VICENTE SUAREZ-MICHOACAN,19.411797,-99.17588,Condesa
68,68 TAMAULIPAS-MICHOACAN,19.411556,-99.17406,Condesa
53,53 FERNANDO MONTES DE OCA-TULA,19.414773,-99.178433,Condesa
54,54 PARQUE ESPAÑA-SONORA,19.416215,-99.170825,Condesa
57,57 CUERNAVACA-JUAN ESCUTIA,19.414903,-99.17495,Condesa
58,58 PARQUE ESPAÑA-JUAN DE LA BARRERA,19.41568,-99.171793,Condesa
60,60 MAZATLAN-FERNANDO MONTES DE OCA,19.414191,-99.177123,Condesa
49,49 MAZATLAN-JUAN DE LA BARRERA,19.416712,-99.175704,Condesa
50,50 CUERNAVACA-VERACRUZ,19.416938,-99.173648,Condesa
447,447 AGUSTÍN MELGAR-ZAMORA,19.418858,-99.176776,Condesa
4,4 RIO NILO-RIO PANUCO,19.428309,-99.171713,Cuauhtemoc
5,5 RIO PANUCO-RIO TIBER,19.42972,-99.169363,Cuauhtemoc
6,6 RIO PANUCO-RIO SENA,19.430922,-99.166959,Cuauhtemoc
7,7 RIO ELBA-RIO LERMA,19.425468,-99.175166,Cuauhtemoc
1,1 RIO SENA-RIO BALSAS,19.4335714,-99.1678091,Cuauhtemoc
2,2 RIO GUADALQUIVIR-RIO BALSAS,19.431386,-99.171695,Cuauhtemoc
9,9 RIO GUADALQUIVIR-RIO LERMA,19.428009,-99.169918,Cuauhtemoc
11,11 RIO AMAZONAS-RIO LERMA,19.430992,-99.163593,Cuauhtemoc
12,12 RIO LERMA-VILLALONGIN,19.432313,-99.161597,Cuauhtemoc
13,13 REFORMA-RIO MISSISSIPPI,19.42502,-99.17231,Cuauhtemoc
14,14 REFORMA-RIO DE PLATA,19.424768,-99.173261,Cuauhtemoc
15,15 REFORMA-RIO MISSISSIPPI,19.425477,-99.171567,Cuauhtemoc
16,16 REFORMA-RÍO TIBER,19.427226,-99.168242,Cuauhtemoc
17,17 REFORMA-RIO TIBER,19.427501,-99.167125,Cuauhtemoc
18,18 REFORMA-RIO RHIN,19.42888,-99.164176,Cuauhtemoc
19,19 REFORMA-RIO RHIN,19.429241,-99.163377,Cuauhtemoc
20,20 REFORMA-RIO TAMESIS,19.430964,-99.160206,Cuauhtemoc
257,E257 MANUEL MARIA CONTRERAS-VILLALONGIN ,19.4338,-99.16622,Cuauhtemoc
465,465 LAGUNA DE GINEBRA-LAGO WETTER,19.445039,-99.194078,Cuauhtemoc Pensil
448,448 DR. ANDRADE - ARCOS DE BELÉN,19.426611,-99.14447,Doctores
122,122 JOSE MARIA VERTIZ-AV.DR. RIO DE LA LOZA,19.425502,-99.146337,Doctores
123,123 CLAUDIO BERNARD-DR. LAVISTA,19.424161,-99.153117,Doctores
110,110 DR. VALENZUELA-DR. RÍO DE LA LOZA,19.42513,-99.14339,Doctores
298,298 ROMERO DE TERREROS-GABRIEL MANCERA,19.394073,-99.16214,Del Valle Centro
299,299 ROMERO DE TERREROS-MIER Y PESADO,19.394601,-99.165054,Del Valle Centro
300,E300 PROVIDENCIA -LUZ SAVIÑON,19.393268,-99.168333,Del Valle Centro
301,301 LUZ SAVIÑÓN-MAGDALENA,19.393807,-99.171133,Del Valle Centro
302,302 LUZ SAVIÑON-MAGDALENA,19.393832,-99.171466,Del Valle Centro
291,291 MAGDALENA-DIVISIÓN DEL NORTE,19.397651,-99.169946,Del Valle Centro
316,316 SAN FRANCISCO-CONCEPCIÓN BEISTEGUI,19.391056,-99.1712,Del Valle Centro
317,317 AVENIDA COYOACÁN-TORRES ADALID,19.391456,-99.166157,Del Valle Centro
318,318 LUZ SAVIÑÓN-AMORES,19.392249,-99.164127,Del Valle Centro
319,319 DIAGONAL SAN ANTONIO-LUZ SAVIÑON,19.391991,-99.162684,Del Valle Centro
372,372 DR. ROBERTO GAYOL-TLACOQUEMECATL,19.37797,-99.170289,Del Valle Centro
373,373 PILARES-GABRIEL MANCERA,19.377968,-99.166663,Del Valle Centro
377,377 HERIBERTO FRÍAS-MIGUEL LAURENT,19.375394,-99.16375,Del Valle Centro
378,378 MIGUEL LAURENT-AMORES,19.375823,-99.168076,Del Valle Centro
379,379 DR. ROBERTO GAYOL-MIGUEL LAURENT,19.375751,-99.17084,Del Valle Centro
393,393 ADOLFO PRIETO-FELIX CUEVAS,19.372796,-99.172558,Del Valle Centro
356,356 MATIAS ROMERO -ADOLFO PRIETO,19.381292,-99.170171,Del Valle Centro
357,357 MATIAS ROMERO -AMORES,19.380598,-99.1669248,Del Valle Centro
358,358 NICOLAS SAN JUAN-MATIAS ROMERO ,19.380168,-99.164222,Del Valle Centro
359,359 MATIAS ROMERO -PESTALLOZZI,19.379269,-99.161169,Del Valle Centro
360,E360 HERIBERTO FRÍAS-MATIAS ROMERO,19.3790279,-99.1628259,Del Valle Centro
344,344 HERIBERTO FRÍAS-ANGEL URRAZA EJE 6 SUR,19.382107,-99.162243,Del Valle Centro
323,323 CONCEPCIÓN BEISTEGUI-GABRIEL MANCERA,19.389026,-99.163403,Del Valle Centro
324,324 AMORES-AVENIDA EUGENIA,19.3872468,-99.1656554,Del Valle Centro
325,325 PROVIDENCIA -AVENIDA DEL VALLE,19.3881779,-99.1696894,Del Valle Centro
335,335 MAGDALENA-AMEYALCO,19.387003,-99.173504,Del Valle Centro
336,336 SAN BORJA-CDA. BARTOLOCHE,19.385531,-99.169673,Del Valle Centro
337,337 SAN BORJA-MARTÍN MENLALDE,19.384849,-99.16704,Del Valle Centro
338,338 NICOLAS SAN JUAN-SAN BORJA,19.384249,-99.163273,Del Valle Centro
292,292 ADOLFO PRIETO-EJE 4 SUR XOLA,19.396917,-99.166264,Del Valle Norte
293,293 MIER Y PESADO-EJE 4 SUR XOLA,19.397373,-99.164598,Del Valle Norte
294,294 NICOLÁS SAN JUAN-EJE 4 SUR XOLA,19.396513,-99.160924,Del Valle Norte
278,278 MIER Y PESADO-OBRERO MUNDIAL,19.40071,-99.163831,Del Valle Norte
279,279 LA MORENA-PROVIDENCIA,19.399908,-99.166553,Del Valle Norte
282,282 LA MORENA-EJE 2 PONIENTE GABRIEL MANCERA,19.398692,-99.161273,Del Valle Norte
283,283 AV. COYOACÁN-RAFAEL DONDE,19.39827,-99.167383,Del Valle Norte
394,394 DR. ROBERTO GAYOL-FELIX CUEVAS,19.372437,-99.171592,Del Valle Sur
395,395 SAN LORENZO-CALLEJÓN MARTÍN MENLALDE,19.373742,-99.169814,Del Valle Sur
396,396 MARTÍN MENLALDE-FELIX CUEVAS,19.371554,-99.170187,Del Valle Sur
397,397 SAN LORENZO-GABRIEL MANCERA,19.373194,-99.167247,Del Valle Sur
398,398 SANCHEZ AZCONA-FELIX CUEVAS,19.37103,-99.16566,Del Valle Sur
399,399 HERIBERTO FRÍAS-SAN LORENZO,19.372407,-99.164519,Del Valle Sur
400,400 SAN LORENZO-HERIBERTO FRIAS,19.3726458,-99.1642743,Del Valle Sur
435,435 RODRIGUEZ SARO-AVENIDA COYOACÁN,19.365154,-99.172906,Del Valle Sur
391,E391 OSO-FELIX CUEVAS,19.373142,-99.178283,Del Valle Sur
413,413 PARROQUIA-AVENIDA COYOACÁN,19.369782,-99.171906,Del Valle Sur
414,414 PARROQUIA-JOSÉ IGNACIO BARTOLACHE,19.370187,-99.173712,Del Valle Sur
415,415 SAN FRANCISCO-PARROQUÍA,19.371498,-99.17602,Del Valle Sur
424,424 AMORES-JOSÉ MARÍA RICO (EJE 8),19.367208,-99.170531,Del Valle Sur
425,425 NICOLAS SAN JUAN-AVENIDA UNIVERSIDAD,19.367087,-99.16741,Del Valle Sur
285,285 12 DE OCTUBRE-MINERIA,19.3997946,-99.1775178,Escandon
286,286 13 DE SEPTIEMBRE-AVENIDA PATRIOTISMO,19.399201,-99.179943,Escandon
287,287 13 DE SEPTIEMBRE-PUENTE DE LA MORENA,19.398946,-99.183254,Escandon
175,E175 MUTUALISMO-JOSÉ MARTí,19.400767,-99.172533,Escandon
166,166 PROGRESO-CDA. ANTONIO MACEO,19.406069,-99.183549,Escandon
167,167 GENERAL SALVADOR ALVARADO-PROGRESO,19.404651,-99.179375,Escandon
168,168 COMERCIO-PROGRESO,19.403997,-99.1776,Escandon
169,169 PROSPERIDAD-PROGRESO,19.403019,-99.174934,Escandon
170,170 OBSERVATORIO ORIENTE-REVOLUCIÓN,19.404029,-99.184342,Escandon
171,171 COMERCIO-JOSE MARTÍ,19.402584,-99.178199,Escandon
172,172 GENERAL FRANCISCO MURGUIA-JOSE MARTÍ,19.4034921,-99.1816002,Escandon
173,173 MINERÍA-JOSÉ MARTÍ,19.401682,-99.176398,Escandon
387,387 CADIZ-EMPRESA,19.37455556,-99.18050556,Extremadura Insurgentes
381,381 SAN LORENZO-MANZANAS,19.375541,-99.177894,Extremadura Insurgentes
382,382 SAN LORENZO-AV. INSURGENTES,19.375591,-99.178084,Extremadura Insurgentes
383,383 LUIS CARACCI-2DA. LUIS CARACCI,19.375764,-99.181527,Extremadura Insurgentes
