Total_Rides,Start_Station,End_Station,Start_Station_Name,Start_Station_Lat,Start_Station_Lon,Start_Colonia,End_Station_Name,End_Station_Lat,End_Station_Lon,End_Colonia
214,41,10,41 REFORMA-AV. DE LA REPUBLICA,19.435637,-99.150137,Tabacalera,10 REFORMA-RAMIREZ,19.433321,-99.154752,Tabacalera
213,77,68,77 CHOAPAN-TAMAULIPAS,19.406765,-99.178321,Hipodromo,68 TAMAULIPAS-MICHOACAN,19.411556,-99.17406,Condesa
213,32,4,32 LONDRES-SEVILLA,19.422705,-99.169922,Juarez,4 RIO NILO-RIO PANUCO,19.428309,-99.171713,Cuauhtemoc
212,1,1,1 RIO SENA-RIO BALSAS,19.433571399999998,-99.16780909999999,Cuauhtemoc,1 RIO SENA-RIO BALSAS,19.433571399999998,-99.16780909999999,Cuauhtemoc
211,15,27,15 REFORMA-RIO MISSISSIPPI,19.425476999999997,-99.17156700000001,Cuauhtemoc,27 REFORMA-HAVRE,19.429115,-99.162614,Juarez
210,27,15,27 REFORMA-HAVRE,19.429115,-99.162614,Juarez,15 REFORMA-RIO MISSISSIPPI,19.425476999999997,-99.17156700000001,Cuauhtemoc
208,135,136,135 ÁLVARO OBREGÓN-MORELIA,19.419225,-99.15509899999999,Roma Norte,136 ÁLVARO OBREGÓN-TONALÁ,19.417715,-99.162729,Roma Norte
207,64,45,64 SONORA-AMSTERDAM,19.412876999999998,-99.166986,Hipodromo,45 DURANGO-SONORA,19.418649,-99.172127,Roma Norte
205,84,64,84 CHILPANCINGO-TLAXCALA,19.407020000000003,-99.16958699999999,Hipodromo,64 SONORA-AMSTERDAM,19.412876999999998,-99.166986,Hipodromo
205,73,77,73 CAMPECHE-TAMAULIPAS,19.410245,-99.175612,Hipodromo Condesa,77 CHOAPAN-TAMAULIPAS,19.406765,-99.178321,Hipodromo
205,1,86,1 RIO SENA-RIO BALSAS,19.433571399999998,-99.16780909999999,Cuauhtemoc,86 SULLIVAN-INSURGENTES,19.432378,-99.159077,San Rafael
204,28,27,28 TOLEDO-TOKIO,19.423542,-99.172494,Juarez,27 REFORMA-HAVRE,19.429115,-99.162614,Juarez
204,84,59,84 CHILPANCINGO-TLAXCALA,19.407020000000003,-99.16958699999999,Hipodromo,59 POPOCATEPETL-AMSTERDAM,19.415121,-99.166661,Hipodromo
201,41,20,41 REFORMA-AV. DE LA REPUBLICA,19.435637,-99.150137,Tabacalera,20 REFORMA-RIO TAMESIS,19.430964000000003,-99.160206,Cuauhtemoc
199,41,18,41 REFORMA-AV. DE LA REPUBLICA,19.435637,-99.150137,Tabacalera,18 REFORMA-RIO RHIN,19.42888,-99.164176,Cuauhtemoc
198,197,208,197 MIGUEL DE CERVANTES-FC DE CUERNAVACA,19.440077,-99.204316,Granada,208 HESIODO-LAMARTINE ,19.434182,-99.189835,Polanco
197,256,183,256 GÓMEZ FARÍAS-SADI CARNOT ,19.4372,-99.15816,San Rafael,183 GABINO BARRERA-GUILLERMO PRIETO,19.43767,-99.16402,San Rafael
195,84,74,84 CHILPANCINGO-TLAXCALA,19.407020000000003,-99.16958699999999,Hipodromo,74 NUEVO LEON-OZULAMA,19.410343,-99.172831,Hipodromo
194,158,141,158 HUATABAMPO-EJE 1PTE. CUAUHTÉMOC,19.407447,-99.15571700000001,Roma Sur,141 ZACATECAS-LUIS CABRERA,19.415905,-99.15954,Roma Norte
191,77,73,77 CHOAPAN-TAMAULIPAS,19.406765,-99.178321,Hipodromo,73 CAMPECHE-TAMAULIPAS,19.410245,-99.175612,Hipodromo Condesa
191,77,66,77 CHOAPAN-TAMAULIPAS,19.406765,-99.178321,Hipodromo,66 MAZATLAN-FRANCISCO MARQUEZ,19.411402,-99.178666,Hipodromo Condesa
190,57,36,57 CUERNAVACA-JUAN ESCUTIA,19.414903,-99.17495,Condesa,36 PUEBLA-VERACRUZ,19.419725,-99.17577800000001,Piedad Narvarte
188,7,7,7 RIO ELBA-RIO LERMA,19.425468,-99.175166,Cuauhtemoc,7 RIO ELBA-RIO LERMA,19.425468,-99.175166,Cuauhtemoc
187,22,27,22 REFORMA-MANCHESTER,19.424375,-99.172575,Juarez,27 REFORMA-HAVRE,19.429115,-99.162614,Juarez
187,174,257,174 JOAQUÍN GARCIA-IGNACIO MANUEL ALTAMIRANO,19.441110000000002,-99.16164,San Rafael,E257 MANUEL MARIA CONTRERAS-VILLALONGIN ,19.4338,-99.16622,Cuauhtemoc
186,41,17,41 REFORMA-AV. DE LA REPUBLICA,19.435637,-99.150137,Tabacalera,17 REFORMA-RIO TIBER,19.427501,-99.167125,Cuauhtemoc
186,237,236,237 ANDRÉS BELLO-ELLIOT ,19.426744,-99.193986,Polanco,236 CAMPOS ELISEOS-MOLIERE ,19.42944,-99.20243,Polanco
186,158,151,158 HUATABAMPO-EJE 1PTE. CUAUHTÉMOC,19.407447,-99.15571700000001,Roma Sur,151 CAMPECHE-TONALÁ,19.410529,-99.160873,Roma Sur
184,17,35,17 REFORMA-RIO TIBER,19.427501,-99.167125,Cuauhtemoc,35 LIVERPOOL-GENOVA,19.424674,-99.163292,Juarez
184,8,29,8 REFORMA-GENERAL PRIM,19.431141,-99.15831700000001,Juarez,29 REFORMA-BUCARELI,19.434913,-99.149939,Centro
182,45,64,45 DURANGO-SONORA,19.418649,-99.172127,Roma Norte,64 SONORA-AMSTERDAM,19.412876999999998,-99.166986,Hipodromo
182,242,208,242 MIGUEL DE CERVANTES SAAVEDRA-PROL MOLIERE ,19.440344,-99.20105,Granada,208 HESIODO-LAMARTINE ,19.434182,-99.189835,Polanco
180,35,17,35 LIVERPOOL-GENOVA,19.424674,-99.163292,Juarez,17 REFORMA-RIO TIBER,19.427501,-99.167125,Cuauhtemoc
179,18,15,18 REFORMA-RIO RHIN,19.42888,-99.164176,Cuauhtemoc,15 REFORMA-RIO MISSISSIPPI,19.425476999999997,-99.17156700000001,Cuauhtemoc
179,17,27,17 REFORMA-RIO TIBER,19.427501,-99.167125,Cuauhtemoc,27 REFORMA-HAVRE,19.429115,-99.162614,Juarez
179,66,77,66 MAZATLAN-FRANCISCO MARQUEZ,19.411402,-99.178666,Hipodromo Condesa,77 CHOAPAN-TAMAULIPAS,19.406765,-99.178321,Hipodromo
179,43,43,43 JUAREZ-REVILLAGIGEDO,19.435228,-99.146063,Centro,43 JUAREZ-REVILLAGIGEDO,19.435228,-99.146063,Centro
178,18,14,18 REFORMA-RIO RHIN,19.42888,-99.164176,Cuauhtemoc,14 REFORMA-RIO DE PLATA,19.424768,-99.173261,Cuauhtemoc
175,1,34,1 RIO SENA-RIO BALSAS,19.433571399999998,-99.16780909999999,Cuauhtemoc,34 LIVERPOOL-GENOVA,19.424725,-99.163331,Juarez
175,1,9,1 RIO SENA-RIO BALSAS,19.433571399999998,-99.16780909999999,Cuauhtemoc,9 RIO GUADALQUIVIR-RIO LERMA,19.428009,-99.16991800000001,Cuauhtemoc
