Genero_Usuario,Edad_Usuario,Bici,Ciclo_Estacion_Retiro,Fecha_Retiro,Hora_Retiro,Ciclo_Estacion_Arribo,Fecha_Arribo,Hora_Arribo
F,29,0398,28,2010-07-01,00:00:52.767000,7,2010-07-01,00:04:35.450000
M,28,0573,77,2010-07-01,00:02:44.130000,65,2010-07-01,00:25:17.453000
M,29,0829,71,2010-07-01,00:13:54.697000,52,2010-07-01,00:20:39.070000
M,36,0153,30,2010-07-01,00:17:35.480000,30,2010-07-01,00:21:01.440000
M,29,0925,56,2010-07-01,00:20:38.843000,8,2010-07-01,00:27:01.660000
M,40,0357,8,2010-07-01,00:20:56.960000,20,2010-07-01,00:26:38.363000
M,36,0552,26,2010-07-01,00:21:32.337000,85,2010-07-01,00:26:48.300000
M,28,1036,37,2010-07-01,00:23:15.560000,13,2010-07-01,00:27:28.427000
M,22,0397,73,2010-07-01,00:29:39.293000,74,2010-07-01,00:37:38.303000
F,25,1141,8,2010-07-01,07:00:51.810000,9,2010-07-01,07:03:19.533000
F,28,0633,85,2010-07-01,07:01:32.750000,24,2010-07-01,07:11:58.317000
F,34,0534,13,2010-07-01,07:04:28.300000,1,2010-07-01,07:16:11.840000
F,44,0497,13,2010-07-01,07:04:39.207000,1,2010-07-01,07:16:18.793000
M,37,0912,85,2010-07-01,07:06:45.040000,34,2010-07-01,07:33:24.513000
F,24,0748,2,2010-07-01,07:06:49.350000,33,2010-07-01,10:10:35.937000
M,45,0186,2,2010-07-01,07:07:12.100000,70,2010-07-01,07:31:03.603000
M,35,0203,31,2010-07-01,07:08:17.230000,85,2010-07-01,07:14:53.900000
M,31,1148,20,2010-07-01,07:09:47.687000,13,2010-07-01,07:23:21.663000
M,21,0274,12,2010-07-01,07:10:00.733000,13,2010-07-01,07:21:08.897000
M,23,0412,28,2010-07-01,07:10:39.760000,81,2010-07-01,09:34:20.520000
M,43,0905,2,2010-07-01,07:11:46.400000,51,2010-07-01,07:23:12.290000
M,52,0444,81,2010-07-01,07:12:41,18,2010-07-01,07:41:17.153000
M,59,0654,12,2010-07-01,07:12:51.973000,15,2010-07-01,07:22:40.507000
F,50,0587,48,2010-07-01,07:14:15.193000,58,2010-07-01,07:21:12.867000
F,28,0463,2,2010-07-01,07:14:37.060000,7,2010-07-01,07:22:23.883000
M,30,0689,20,2010-07-01,07:15:08.557000,18,2010-07-01,07:18:50.393000
F,35,0267,43,2010-07-01,07:15:19.453000,24,2010-07-01,07:22:38.507000
M,41,0329,75,2010-07-01,07:15:56.777000,85,2010-07-01,07:32:51.810000
M,30,0687,5,2010-07-01,07:16:03.673000,32,2010-07-01,09:29:56.107000
M,53,0870,61,2010-07-01,07:17:05.933000,2,2010-07-01,07:37:28.807000
M,34,1020,49,2010-07-01,07:17:14.233000,49,2010-07-01,07:34:03.937000
F,31,0709,49,2010-07-01,07:17:27.013000,60,2010-07-01,12:27:47.833000
M,22,0521,58,2010-07-01,07:18:11.987000,2,2010-07-01,07:35:15.553000
M,45,0760,5,2010-07-01,07:18:51.973000,27,2010-07-01,07:23:50.993000
F,26,0698,54,2010-07-01,07:19:01.313000,76,2010-07-01,07:28:00.267000
F,38,0218,67,2010-07-01,07:20:12.800000,67,2010-07-01,07:23:36.447000
F,36,0675,31,2010-07-01,07:21:03.880000,16,2010-07-01,07:27:46.847000
M,30,0373,1,2010-07-01,07:22:50.540000,41,2010-07-01,07:34:13.140000
M,45,0108,6,2010-07-01,07:24:59.373000,72,2010-07-01,07:42:25.140000
F,57,0163,65,2010-07-01,07:26:31.730000,65,2010-07-01,07:29:55.173000
F,38,0366,2,2010-07-01,07:26:57.577000,13,2010-07-01,07:39:42.450000
M,47,1198,39,2010-07-01,07:26:59.293000,45,2010-07-01,07:32:20.973000
F,41,0927,31,2010-07-01,07:29:10.723000,21,2010-07-01,07:43:54.330000
F,34,0706,66,2010-07-01,07:30:16.080000,83,2010-07-01,09:29:34.903000
M,24,0315,20,2010-07-01,07:31:37.447000,13,2010-07-01,07:42:23.937000
M,40,0753,85,2010-07-01,07:33:41.670000,15,2010-07-01,07:51:09.993000
M,28,0433,32,2010-07-01,07:33:56.717000,28,2010-07-01,07:43:12.577000
M,35,1086,1,2010-07-01,07:34:06.520000,35,2010-07-01,07:45:22.753000
M,26,0814,69,2010-07-01,07:34:21.660000,11,2010-07-01,07:56:57.700000
F,43,0246,67,2010-07-01,07:34:44.953000,69,2010-07-01,07:39:56.387000
F,27,1015,49,2010-07-01,07:35:44.907000,74,2010-07-01,07:47:09.223000
M,27,0251,34,2010-07-01,07:36:00.423000,3,2010-07-01,07:42:25.763000
M,40,0975,34,2010-07-01,07:36:34.473000,16,2010-07-01,07:42:23.263000
F,21,0695,66,2010-07-01,07:37:14.837000,84,2010-07-01,07:44:05.080000
F,23,0349,31,2010-07-01,07:37:39,31,2010-07-01,08:17:44.770000
F,38,0693,59,2010-07-01,07:37:53.883000,69,2010-07-01,07:45:40.800000
F,21,0678,41,2010-07-01,07:38:28.883000,23,2010-07-01,07:47:26.943000
M,34,1107,21,2010-07-01,07:39:40.480000,27,2010-07-01,07:46:57.790000
M,26,0657,39,2010-07-01,07:39:47.667000,13,2010-07-01,07:46:33.677000
M,59,0890,71,2010-07-01,07:39:50.040000,65,2010-07-01,07:54:17.747000
F,23,0884,36,2010-07-01,07:40:35.387000,54,2010-07-01,07:49:45.030000
M,42,0793,20,2010-07-01,07:42:54.937000,13,2010-07-01,07:52:53.653000
M,35,0055,82,2010-07-01,07:42:56.767000,53,2010-07-01,07:49:25.740000
F,24,1187,84,2010-07-01,07:43:05.407000,1,2010-07-01,08:04:26.697000
F,22,0663,12,2010-07-01,07:43:20.703000,17,2010-07-01,07:51:15.760000
M,25,0514,40,2010-07-01,07:43:38.407000,23,2010-07-01,07:51:02.133000
M,24,0691,55,2010-07-01,07:44:51.033000,14,2010-07-01,07:54:08.183000
M,46,0297,12,2010-07-01,07:45:35.130000,1,2010-07-01,07:49:52.587000
M,22,0772,83,2010-07-01,07:45:41,45,2010-07-01,09:05:35.767000
M,29,0066,77,2010-07-01,07:45:48.237000,79,2010-07-01,07:48:36.177000
M,35,0968,84,2010-07-01,07:47:17.630000,71,2010-07-01,07:50:31.110000
M,32,0603,49,2010-07-01,07:47:58.353000,66,2010-07-01,07:56:40.937000
M,63,0528,34,2010-07-01,07:49:22.230000,19,2010-07-01,07:57:16.967000
M,45,0043,74,2010-07-01,07:49:37.100000,2,2010-07-01,08:03:12.443000
M,44,0249,84,2010-07-01,07:49:38.413000,59,2010-07-01,07:54:17.043000
F,23,0339,18,2010-07-01,07:50:08.210000,14,2010-07-01,07:58:12.597000
M,51,1127,31,2010-07-01,07:50:31.967000,22,2010-07-01,08:05:28.683000
F,33,0322,61,2010-07-01,07:50:37.657000,61,2010-07-01,08:09:29.520000
M,51,1084,19,2010-07-01,07:50:40.093000,75,2010-07-01,08:08:37.403000
F,28,0053,53,2010-07-01,07:50:49.087000,78,2010-07-01,07:56:07.813000
F,27,0930,85,2010-07-01,07:51:35.940000,42,2010-07-01,16:13:32.767000
M,24,0143,2,2010-07-01,07:51:46.557000,28,2010-07-01,07:58:34.707000
F,40,0310,79,2010-07-01,07:52:24.683000,80,2010-07-01,07:58:54.767000
M,26,0330,79,2010-07-01,07:53:05.807000,77,2010-07-01,07:58:40.813000
M,44,0635,59,2010-07-01,07:54:10.183000,28,2010-07-01,08:11:29.673000
M,51,0494,38,2010-07-01,07:55:46.357000,13,2010-07-01,09:59:25.120000
M,29,0979,53,2010-07-01,07:56:26.720000,83,2010-07-01,08:05:14.527000
M,23,0558,5,2010-07-01,07:56:53.953000,20,2010-07-01,08:11:57.557000
M,52,0175,84,2010-07-01,07:59:15.533000,20,2010-07-01,08:18:40.757000
F,56,0537,20,2010-07-01,07:59:19.860000,17,2010-07-01,08:05:20.510000
M,35,0131,38,2010-07-01,07:59:29.347000,51,2010-07-01,15:59:19.097000
M,37,0485,84,2010-07-01,07:59:33.613000,45,2010-07-01,08:08:39.200000
M,30,0513,34,2010-07-01,08:02:18.223000,17,2010-07-01,08:06:44.183000
F,31,0649,34,2010-07-01,08:02:42.490000,6,2010-07-01,08:15:00.047000
F,31,0723,7,2010-07-01,08:03:17,7,2010-07-01,08:39:59.390000
F,30,0195,77,2010-07-01,08:03:43.820000,77,2010-07-01,08:08:21.187000
M,40,0710,59,2010-07-01,08:05:07.027000,59,2010-07-01,08:08:31.013000
M,37,0953,85,2010-07-01,08:05:29.903000,36,2010-07-01,08:23:49.470000
F,24,0012,61,2010-07-01,08:05:53.577000,69,2010-07-01,08:09:04.733000
M,42,0207,20,2010-07-01,08:06:05.827000,45,2010-07-01,08:25:04.737000
F,20,0878,83,2010-07-01,08:07:09.980000,1,2010-07-01,08:32:55.267000
M,41,0951,32,2010-07-01,08:07:29.030000,24,2010-07-01,08:11:37.940000
M,39,0831,65,2010-07-01,08:07:48.123000,13,2010-07-01,08:27:10.223000
M,33,0400,11,2010-07-01,08:08:06.347000,17,2010-07-01,08:12:17.253000
M,47,0681,34,2010-07-01,08:08:11.550000,1,2010-07-01,08:16:01.500000
F,30,0304,36,2010-07-01,08:08:13.690000,79,2010-07-01,08:21:12.840000
F,30,0177,78,2010-07-01,08:08:28.013000,67,2010-07-01,10:08:42.997000
M,32,0137,61,2010-07-01,08:08:44.707000,70,2010-07-01,14:15:16.050000
F,27,0166,2,2010-07-01,08:09:03.343000,16,2010-07-01,08:16:42.720000
M,31,0597,20,2010-07-01,08:09:06.973000,17,2010-07-01,08:14:25.723000
M,38,0822,75,2010-07-01,08:09:42.640000,39,2010-07-01,08:20:54.997000
F,43,1102,69,2010-07-01,08:10:16.767000,67,2010-07-01,08:17:34.913000
F,31,1100,7,2010-07-01,08:10:20.100000,56,2010-07-01,08:21:03.560000
F,45,0880,49,2010-07-01,08:10:24.553000,61,2010-07-01,08:17:46.597000
M,40,0976,61,2010-07-01,08:11:05.273000,84,2010-07-01,08:16:42.227000
M,31,0843,7,2010-07-01,08:11:09.943000,24,2010-07-01,11:15:40.590000
M,67,1122,28,2010-07-01,08:11:53.720000,45,2010-07-01,08:16:49.487000
M,40,1049,16,2010-07-01,08:12:14.557000,20,2010-07-01,08:20:10.680000
M,62,1124,72,2010-07-01,08:12:28.173000,72,2010-07-01,08:31:46.900000
F,27,0171,72,2010-07-01,08:13:41.393000,13,2010-07-01,08:38:19.703000
M,36,0612,56,2010-07-01,08:13:53.003000,22,2010-07-01,08:20:46.950000
M,31,0187,49,2010-07-01,08:14:09.687000,52,2010-07-01,08:37:42.500000
M,35,0238,20,2010-07-01,08:14:12.560000,17,2010-07-01,08:19:30.057000
M,46,0294,31,2010-07-01,08:14:18.810000,37,2010-07-01,08:27:40.020000
M,24,0899,34,2010-07-01,08:14:19.233000,1,2010-07-01,08:24:57.690000
M,28,0159,20,2010-07-01,08:15:15.780000,13,2010-07-01,08:25:37.377000
M,33,0897,69,2010-07-01,08:15:32.380000,23,2010-07-01,08:36:25
F,57,0744,13,2010-07-01,08:15:40.397000,45,2010-07-01,08:26:46.023000
M,19,0285,36,2010-07-01,08:15:47.390000,40,2010-07-01,08:24:29.813000
F,42,0403,20,2010-07-01,08:16:01.690000,3,2010-07-01,08:19:40.997000
M,27,0174,17,2010-07-01,08:16:07.130000,17,2010-07-01,08:52:54.893000
M,53,0317,43,2010-07-01,08:16:16.943000,58,2010-07-01,08:23:54.873000
M,32,0707,79,2010-07-01,08:18:11.307000,18,2010-07-01,08:38:38.987000
F,26,1181,25,2010-07-01,08:18:52.053000,13,2010-07-01,08:25:39.470000
M,26,0864,63,2010-07-01,08:18:54.230000,36,2010-07-01,08:24:29.767000
F,29,1031,49,2010-07-01,08:19:09.087000,69,2010-07-01,08:25:50.550000
M,26,1062,84,2010-07-01,08:19:19.980000,74,2010-07-01,08:23:41.297000
M,35,0749,2,2010-07-01,08:19:20.353000,35,2010-07-01,08:30:28.013000
F,33,0462,71,2010-07-01,08:19:33.743000,24,2010-07-01,08:31:57.383000
M,53,0324,77,2010-07-01,08:19:50.213000,65,2010-07-01,08:24:00.813000
M,25,0740,39,2010-07-01,08:20:07.090000,23,2010-07-01,08:25:53.393000
M,33,0370,20,2010-07-01,08:20:50.103000,17,2010-07-01,08:25:09.893000
M,61,0655,35,2010-07-01,08:21:39.293000,25,2010-07-01,08:25:32.143000
M,27,0806,46,2010-07-01,08:21:53.030000,76,2010-07-01,08:33:57.660000
M,38,0552,85,2010-07-01,08:21:56.653000,46,2010-07-01,08:37:33.907000
M,51,0517,60,2010-07-01,08:21:56.967000,81,2010-07-01,08:36:50.250000
M,38,0629,36,2010-07-01,08:22:35.343000,41,2010-07-01,09:28:10.293000
F,26,0014,76,2010-07-01,08:22:48.437000,67,2010-07-01,08:27:35.660000
M,25,0005,12,2010-07-01,08:23:36.313000,18,2010-07-01,08:28:19.770000
F,20,0889,34,2010-07-01,08:23:39.720000,6,2010-07-01,08:35:06.880000
M,31,0283,46,2010-07-01,08:23:48.047000,46,2010-07-01,08:27:42.943000
M,33,1196,60,2010-07-01,08:24:18.597000,37,2010-07-01,08:31:57.260000
F,48,0120,8,2010-07-01,08:24:36.017000,8,2010-07-01,08:44:38.650000
M,31,0194,2,2010-07-01,08:24:43.360000,9,2010-07-01,08:28:04.600000
M,27,0234,73,2010-07-01,08:24:52.143000,24,2010-07-01,08:41:37.817000
M,32,0226,53,2010-07-01,08:25:00.237000,84,2010-07-01,08:32:17.947000
F,23,1117,8,2010-07-01,08:25:09.160000,8,2010-07-01,08:28:31.837000
M,44,0466,37,2010-07-01,08:25:10.157000,3,2010-07-01,08:36:02.310000
F,25,0929,54,2010-07-01,08:25:13.957000,3,2010-07-01,08:46:12.323000
F,30,0839,84,2010-07-01,08:25:28.987000,51,2010-07-01,08:39:27.780000
M,30,0722,21,2010-07-01,08:26:18.127000,26,2010-07-01,08:32:13.627000
M,32,0887,80,2010-07-01,08:27:28.430000,7,2010-07-01,08:41:32.377000
M,26,0278,79,2010-07-01,08:27:46.490000,81,2010-07-01,08:32:07.573000
M,25,0776,56,2010-07-01,08:28:39.287000,19,2010-07-01,08:43:59.007000
M,28,0314,38,2010-07-01,08:28:42.913000,24,2010-07-01,09:35:14.787000
F,31,0146,45,2010-07-01,08:28:51.823000,47,2010-07-01,08:41:47.833000
M,32,1033,67,2010-07-01,08:29:15.927000,24,2010-07-01,08:40:01.067000
F,23,0915,13,2010-07-01,08:30:01.397000,16,2010-07-01,08:37:56.120000
M,32,0702,36,2010-07-01,08:30:52.310000,81,2010-07-01,09:00:13.353000
M,24,0142,32,2010-07-01,08:30:56.373000,29,2010-07-01,08:50:01.613000
F,38,1191,13,2010-07-01,08:30:59.807000,2,2010-07-01,08:44:52.260000
M,51,0963,75,2010-07-01,08:31:06.477000,19,2010-07-01,08:48:10.700000
F,23,0405,23,2010-07-01,08:31:13.523000,35,2010-07-01,08:36:36.963000
M,23,0097,46,2010-07-01,08:31:42.713000,21,2010-07-01,08:41:33.660000
F,47,0320,74,2010-07-01,08:31:48.843000,48,2010-07-01,08:46:26.433000
M,23,0203,85,2010-07-01,08:31:51.220000,45,2010-07-01,08:48:47.750000
F,36,0673,21,2010-07-01,08:31:55.977000,27,2010-07-01,08:41:22.817000
M,27,0271,14,2010-07-01,08:32:18.133000,14,2010-07-01,08:39:02.440000
M,34,0291,6,2010-07-01,08:33:12.770000,16,2010-07-01,08:43:47.460000
M,28,0830,37,2010-07-01,08:33:43.637000,13,2010-07-01,08:40:27.957000
F,31,0176,26,2010-07-01,08:33:53.753000,34,2010-07-01,08:41:21.423000
M,45,0379,27,2010-07-01,08:34:29.990000,1,2010-07-01,08:39:38.373000
M,33,0778,80,2010-07-01,08:34:33.507000,28,2010-07-01,08:46:15.493000
M,37,0351,34,2010-07-01,08:34:42.677000,3,2010-07-01,08:42:25.880000
M,33,0215,17,2010-07-01,08:35:23.937000,18,2010-07-01,08:37:31.813000
M,26,1066,19,2010-07-01,08:35:38.747000,7,2010-07-01,08:46:10.620000
M,26,0076,63,2010-07-01,08:35:47.420000,24,2010-07-01,08:42:53.257000
F,28,0390,66,2010-07-01,08:35:57,36,2010-07-01,14:01:51.957000
M,25,0253,1,2010-07-01,08:37:03.637000,18,2010-07-01,08:41:20.693000
M,41,0488,6,2010-07-01,08:37:12.387000,85,2010-07-01,08:41:22.113000
M,28,0185,38,2010-07-01,08:37:16.063000,62,2010-07-01,08:51:42.540000
