Genero_Usuario,Edad_Usuario,Bici,Ciclo_Estacion_Retiro,Fecha_Retiro,Hora_Retiro,Ciclo_Estacion_Arribo,Fecha_Arribo,Hora_Arribo
M,28,0069,85,2010-02-16,12:42:32.160000,85,2010-02-16,12:45:37.427000
M,30,0011,85,2010-02-16,12:53:29.950000,26,2010-02-16,13:22:23.737000
M,37,0043,85,2010-02-16,13:21:46.440000,13,2010-02-16,13:49:47.190000
M,37,0826,22,2010-02-16,14:06:40.480000,85,2010-02-16,14:23:13.567000
M,19,0662,27,2010-02-16,15:31:15.603000,74,2010-02-16,16:29:17.150000
F,25,0008,85,2010-02-16,16:31:53.100000,20,2010-02-16,16:49:26.723000
F,31,0005,85,2010-02-16,16:33:25.400000,20,2010-02-16,16:49:28.973000
M,28,0680,20,2010-02-16,17:06:18.487000,25,2010-02-16,17:22:56.547000
M,28,0618,20,2010-02-16,17:30:14.333000,17,2010-02-16,17:48:24.583000
M,32,0812,49,2010-02-16,18:10:21.337000,72,2010-02-16,18:16:21.213000
M,32,0711,66,2010-02-16,18:27:19.970000,49,2010-02-16,18:34:46.457000
M,19,0651,15,2010-02-16,21:32:38.827000,25,2010-02-16,21:40:02.347000
M,19,0578,25,2010-02-16,22:40:27.770000,6,2010-02-16,22:46:54.603000
M,19,0578,6,2010-02-16,22:57:57.703000,8,2010-02-16,23:06:45.900000
M,37,0615,20,2010-02-17,13:33:32.603000,20,2010-02-17,13:36:13.190000
M,31,0008,20,2010-02-17,14:01:25.730000,20,2010-02-17,14:09:13.983000
M,37,0005,20,2010-02-17,14:09:41.313000,20,2010-02-17,14:26:17.913000
M,31,0658,20,2010-02-17,14:27:10.587000,20,2010-02-17,14:37:42.407000
M,37,0615,20,2010-02-17,14:36:37.733000,20,2010-02-17,14:42:49.857000
M,31,0165,20,2010-02-17,14:48:32.167000,20,2010-02-17,14:55:54.527000
M,32,0008,20,2010-02-17,15:14:54.327000,85,2010-02-17,18:01:36.490000
M,37,0629,20,2010-02-17,15:15:10.460000,85,2010-02-17,15:47:11.873000
M,37,0029,85,2010-02-17,15:57:41.693000,85,2010-02-17,16:02:20.807000
M,45,0442,85,2010-02-17,15:59:43.617000,17,2010-02-17,16:10:01.780000
M,31,0630,19,2010-02-17,16:21:01.757000,17,2010-02-17,16:24:48.743000
M,31,0424,17,2010-02-17,16:28:07.700000,13,2010-02-17,16:32:33.097000
M,19,0605,23,2010-02-17,16:32:37.347000,26,2010-02-17,16:36:30.067000
M,31,0081,45,2010-02-17,17:26:22.917000,83,2010-02-17,17:32:48.313000
M,19,0656,26,2010-02-17,17:28:39.433000,27,2010-02-17,17:33:14.377000
M,19,0815,27,2010-02-17,18:22:36.743000,23,2010-02-17,18:33:58.690000
M,19,0606,23,2010-02-17,18:44:31.120000,46,2010-02-17,18:59:20.223000
M,19,0609,46,2010-02-17,19:28:16.993000,74,2010-02-17,19:57:50.003000
M,19,0567,74,2010-02-17,20:10:25.090000,5,2010-02-17,20:32:29.060000
M,19,0567,5,2010-02-17,20:54:31.327000,5,2010-02-17,21:01:14.770000
M,40,0922,34,2010-02-18,08:00:47,20,2010-02-18,08:07:09.157000
M,28,0448,74,2010-02-18,11:24:42.327000,80,2010-02-18,11:31:43.473000
M,23,0036,85,2010-02-18,13:18:05.510000,15,2010-02-18,15:03:10.027000
M,25,0826,85,2010-02-18,13:30:07.757000,5,2010-02-18,13:35:50.300000
M,28,0039,6,2010-02-18,14:42:11.153000,31,2010-02-18,14:50:02.627000
M,40,0707,20,2010-02-18,15:04:34.880000,34,2010-02-18,19:56:11.723000
M,31,0539,18,2010-02-18,15:25:25.927000,13,2010-02-18,15:30:23.580000
M,32,0513,50,2010-02-18,15:31:38.457000,79,2010-02-18,15:48:22.920000
M,23,0523,85,2010-02-18,15:55:34.147000,85,2010-02-18,15:58:00.023000
M,32,0694,72,2010-02-18,15:58:57.913000,78,2010-02-18,16:02:13.357000
M,23,0433,85,2010-02-18,16:00:01.807000,50,2010-02-18,16:21:59.700000
M,28,0444,85,2010-02-18,16:04:19.433000,49,2010-02-18,20:24:49.480000
M,31,0135,37,2010-02-18,16:05:44.810000,83,2010-02-18,16:14:05.690000
M,32,0347,78,2010-02-18,16:26:30.553000,50,2010-02-18,16:33:33.537000
M,35,0468,85,2010-02-18,17:16:48.693000,13,2010-02-18,17:30:22.933000
M,19,0633,22,2010-02-18,17:36:26.227000,27,2010-02-18,17:46:15.907000
M,23,0828,21,2010-02-18,18:03:01.137000,19,2010-02-18,18:17:07.950000
M,31,0879,19,2010-02-18,18:12:41.093000,31,2010-02-18,18:19:26.533000
M,19,0093,30,2010-02-18,18:17:46.373000,46,2010-02-18,18:29:31.800000
M,23,0657,27,2010-02-18,18:37:37.773000,55,2010-02-18,19:11:05.267000
M,27,0394,17,2010-02-18,19:05:05.560000,34,2010-02-18,19:11:00.400000
M,45,0567,5,2010-02-18,19:09:02.767000,34,2010-02-18,19:26:17.387000
M,19,0610,46,2010-02-18,19:20:53.250000,46,2010-02-18,19:34:16.423000
M,19,0788,45,2010-02-18,19:47:31,30,2010-02-18,20:03:32.113000
M,19,0313,30,2010-02-18,20:13:39.013000,8,2010-02-18,20:22:28.323000
M,28,0652,49,2010-02-18,20:38:00.177000,60,2010-02-18,21:00:11.617000
M,40,0081,83,2010-02-18,21:55:53.223000,78,2010-02-18,22:02:57.167000
M,46,0449,17,2010-02-18,22:09:25.140000,20,2010-02-18,22:16:52.187000
M,27,0015,34,2010-02-19,09:28:17.520000,17,2010-02-19,09:34:42.723000
M,29,0029,85,2010-02-19,09:49:47.273000,18,2010-02-19,10:15:39.427000
M,46,0428,20,2010-02-19,10:03:56.813000,17,2010-02-19,10:09:36.333000
M,29,0925,63,2010-02-19,10:45:35.137000,74,2010-02-19,11:07:11.140000
M,48,0008,85,2010-02-19,11:11:56.977000,27,2010-02-19,11:31:07.070000
