Genero_Usuario,Edad_Usuario,Bici,Ciclo_Estacion_Retiro,Fecha_Retiro,Hora_Retiro,Ciclo_Estacion_Arribo,Fecha_Arribo,Hora_Arribo
M,32,0906,42,2010-03-01,07:03:42.510000,26,2010-03-01,07:10:27.500000
M,24,0862,34,2010-03-01,07:08:04.293000,6,2010-03-01,07:16:43.113000
M,59,0208,12,2010-03-01,07:10:32.770000,8,2010-03-01,07:19:05.853000
M,59,0463,16,2010-03-01,07:21:57.010000,24,2010-03-01,07:27:13.840000
M,43,0710,13,2010-03-01,07:28:56.343000,16,2010-03-01,07:33:59.377000
F,32,0138,75,2010-03-01,07:44:41.073000,56,2010-03-01,07:54:55.827000
M,27,0015,34,2010-03-01,08:15:01.517000,17,2010-03-01,08:18:48.677000
M,46,0788,31,2010-03-01,08:15:11.517000,17,2010-03-01,08:20:13.363000
M,39,0201,11,2010-03-01,08:26:59.290000,17,2010-03-01,08:30:06.857000
F,26,0492,34,2010-03-01,08:27:42.620000,6,2010-03-01,08:40:26.230000
M,29,0842,85,2010-03-01,08:28:34.400000,66,2010-03-01,08:50:52.137000
M,46,0245,17,2010-03-01,08:32:48.420000,31,2010-03-01,08:38:22.597000
M,32,0747,84,2010-03-01,08:34:23.750000,46,2010-03-01,09:01:44.527000
M,32,0018,25,2010-03-01,08:37:35.970000,46,2010-03-01,08:49:24.687000
M,33,0450,34,2010-03-01,08:40:05.583000,25,2010-03-01,08:43:50.443000
M,31,0074,19,2010-03-01,08:43:16.320000,8,2010-03-01,08:52:18.053000
F,33,0852,3,2010-03-01,08:47:36.637000,23,2010-03-01,09:04:57.147000
M,48,0017,2,2010-03-01,08:48:22.823000,6,2010-03-01,08:53:40.867000
F,26,0676,2,2010-03-01,08:51:22.613000,7,2010-03-01,09:00:05.940000
M,25,0505,6,2010-03-01,08:56:07.797000,17,2010-03-01,09:00:23.927000
M,40,0511,56,2010-03-01,08:56:11.907000,17,2010-03-01,09:05:11.337000
M,25,0941,3,2010-03-01,08:57:54.893000,14,2010-03-01,09:04:56.817000
F,51,0342,34,2010-03-01,09:03:42.227000,17,2010-03-01,09:12:11.623000
M,29,0332,79,2010-03-01,09:04:34.930000,42,2010-03-01,09:14:11.203000
